class_name,original_train_count,oversampled_train_count,added_rows,oversampled_ratio
Apple__Healthy,1628,1628,0,1.0
Apple__Rotten,1957,1957,0,1.0
Banana__Healthy,1445,1445,0,1.0
Banana__Rotten,1840,1840,0,1.0
Bellpepper__Healthy,410,500,90,1.22
Bellpepper__Rotten,390,500,110,1.28
Carrot__Healthy,415,500,85,1.2
Carrot__Rotten,390,500,110,1.28
Cucumber__Healthy,405,500,95,1.23
Cucumber__Rotten,396,500,104,1.26
Grape__Healthy,135,500,365,3.7
Grape__Rotten,134,500,366,3.73
Guava__Healthy,134,500,366,3.73
Guava__Rotten,135,500,365,3.7
Jujube__Healthy,132,500,368,3.79
Jujube__Rotten,134,500,366,3.73
Mango__Healthy,1209,1209,0,1.0
Mango__Rotten,1502,1502,0,1.0
Orange__Healthy,1393,1393,0,1.0
Orange__Rotten,1476,1476,0,1.0
Pomegranate__Healthy,137,500,363,3.65
Pomegranate__Rotten,131,500,369,3.82
Potato__Healthy,409,500,91,1.22
Potato__Rotten,392,500,108,1.28
Strawberry__Healthy,1072,1072,0,1.0
Strawberry__Rotten,1068,1068,0,1.0
Tomato__Healthy,402,500,98,1.24
Tomato__Rotten,403,500,97,1.24
